# Rime user dictionary
#@/db_name	sbpy.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10
#@/user_id	main
biooeu 	滗	c=818357176 d=8.18357 t=10
biooeu 	濞	c=818357210 d=8.18357 t=10
biooiu 	愎	c=818357718 d=8.18358 t=10
biouia 	弊	c=818363480 d=8.18363 t=10
biouia 	敝	c=818370625 d=8.18371 t=10
biuaaa 	匕	c=818367002 d=8.18367 t=10
biuaue 	狴	c=818357278 d=8.18357 t=10
biueee 	铋	c=818357226 d=8.18357 t=10
biueiu 	秕	c=818357216 d=8.18357 t=10
biueiu 	秘	c=818368108 d=8.18368 t=10
biueou 	笔	c=818448539 d=8.18449 t=10
biueou 	筚	c=818357245 d=8.18357 t=10
biueou 	箅	c=818357192 d=8.18357 t=10
biueou 	篦	c=818357337 d=8.18357 t=10
biuiae 	鼻	c=818413815 d=8.18414 t=10
biuiai 	币	c=818388167 d=8.18388 t=10
biuiui 	俾	c=818358324 d=8.18358 t=10
biuuao 	舭	c=818357170 d=8.18357 t=10
biuuia 	彼	c=818410887 d=8.18411 t=10
boaaeu 	驳	c=818369967 d=8.1837 t=10
boaeei 	剥	c=818367166 d=8.18367 t=10
boaeui 	擘	c=818357550 d=8.18358 t=10
boaeui 	檗	c=818357234 d=8.18357 t=10
boeeie 	玻	c=818375223 d=8.18375 t=10
boeiea 	拨	c=818389373 d=8.18389 t=10
boeiee 	搏	c=818377976 d=8.18378 t=10
boeiei 	博	c=818420229 d=8.1842 t=10
boeieu 	播	c=818397147 d=8.18397 t=10
boeiio 	菠	c=818357866 d=8.18358 t=10
boeiio 	薄	c=818377166 d=8.18377 t=10
boeioa 	勃	c=818388848 d=8.18389 t=10
boeioa 	孛	c=818357196 d=8.18357 t=10
boeioa 	鹁	c=818357212 d=8.18357 t=10
boeiuo 	柏	c=818357204 d=8.18357 t=10
boeuia 	百	c=818357685 d=8.18358 t=10
boeuia 	礴	c=818358058 d=8.18358 t=10
boiaei 	趵	c=818357249 d=8.18357 t=10
boiaei 	跛	c=818361372 d=8.18361 t=10
boiaei 	踣	c=818357329 d=8.18357 t=10
boiaeo 	啵	c=818357438 d=8.18357 t=10
boiooo 	卜	c=818358134 d=8.18358 t=10
booeia 	亳	c=818357548 d=8.18358 t=10
boooea 	波	c=818487651 d=8.18488 t=10
boooee 	渤	c=818358930 d=8.18359 t=10
boooeu 	泊	c=818367166 d=8.18367 t=10
bouaae 	饽	c=818357533 d=8.18358 t=10
bouaee 	脖	c=818377131 d=8.18377 t=10
bouaee 	膊	c=818367185 d=8.18367 t=10
boueee 	钵	c=818361351 d=8.18361 t=10
boueee 	钹	c=818359197 d=8.18359 t=10
boueee 	铂	c=818357260 d=8.18357 t=10
boueou 	箔	c=818357956 d=8.18358 t=10
boueou 	簸	c=818359237 d=8.18359 t=10
bouiae 	帛	c=818360570 d=8.18361 t=10
bouiae 	魄	c=818357172 d=8.18357 t=10
bouiui 	伯	c=818383837 d=8.18384 t=10
bouuao 	舶	c=818360463 d=8.1836 t=10
bueiae 	逋	c=818357346 d=8.18357 t=10
bueiau 	醭	c=818357174 d=8.18357 t=10
bueiee 	埔	c=818357206 d=8.18357 t=10
bueiee 	捕	c=818392677 d=8.18393 t=10
bueieu 	埠	c=818359228 d=8.18359 t=10
bueuia 	布	c=818597482 d=8.18597 t=10
bueuio 	不	c=826561765 d=8.26562 t=10
buiaee 	哺	c=818360775 d=8.18361 t=10
buiaee 	晡	c=818357241 d=8.18357 t=10
buiaei 	卟	c=818357593 d=8.18358 t=10
buieie 	步	c=818825862 d=8.18826 t=10
buiooo 	卜	c=818381166 d=8.18381 t=10
buoaiu 	补	c=818422532 d=8.18423 t=10
buoeou 	瓿	c=818357199 d=8.18357 t=10
buoeou 	部	c=819052649 d=8.19053 t=10
buooie 	怖	c=818377537 d=8.18378 t=10
buueee 	钚	c=818357342 d=8.18357 t=10
buueou 	簿	c=818363157 d=8.18363 t=10
buuiia 	堡	c=818407166 d=8.18407 t=10
caaooo 	叉	c=818379760 d=8.1838 t=10
caaueo 	姹	c=818357684 d=8.18358 t=10
caeiee 	搽	c=818357945 d=8.18358 t=10
caeieo 	擦	c=818388226 d=8.18388 t=10
caeieu 	插	c=818409148 d=8.18409 t=10
caeiie 	茬	c=818358717 d=8.18359 t=10
caeiiu 	茶	c=818429135 d=8.18429 t=10
caeiuo 	杈	c=818357550 d=8.18358 t=10
caeiuo 	查	c=818561866 d=8.18562 t=10
caeiuo 	楂	c=818357194 d=8.18357 t=10
caeiuo 	槎	c=818357331 d=8.18357 t=10
caeiuo 	檫	c=818357184 d=8.18357 t=10
caeuia 	碴	c=818358753 d=8.18359 t=10
caeuia 	礤	c=818357169 d=8.18357 t=10
caiaee 	喳	c=818357227 d=8.18357 t=10
caiaeo 	嚓	c=818360067 d=8.1836 t=10
caieau 	虿	c=818357281 d=8.18357 t=10
caieie 	拆	c=818378408 d=8.18378 t=10
caieie 	裁	c=818390918 d=8.18391 t=10
caieii 	菜	c=818423501 d=8.18424 t=10
caieii 	蔡	c=818377442 d=8.18377 t=10
caieiu 	才	c=819103482 d=8.19103 t=10
caieiu 	材	c=818427141 d=8.18427 t=10
caiiae 	睬	c=818362530 d=8.18363 t=10
caiiae 	踩	c=818369669 d=8.1837 t=10
caiiau 	财	c=818460906 d=8.18461 t=10
caiiei 	柴	c=818377811 d=8.18378 t=10
caioeu 	瘥	c=818357238 d=8.18357 t=10
caioue 	差	c=818411166 d=8.18411 t=10
caiuau 	猜	c=818409334 d=8.18409 t=10
caiuee 	钗	c=818367719 d=8.18368 t=10
caiuio 	侪	c=818357438 d=8.18357 t=10
caiuoo 	彩	c=818440251 d=8.1844 t=10
caiuoo 	豺	c=818358574 d=8.18359 t=10
caiuoo 	采	c=818511623 d=8.18512 t=10
canaae 	缠	c=818398494 d=8.18398 t=10
canaae 	骖	c=818357318 d=8.18357 t=10
canaeu 	孱	c=818357868 d=8.18358 t=10
canaeu 	羼	c=818357255 d=8.18357 t=10
canaoe 	参	c=818538166 d=8.18538 t=10
canaue 	娼	c=818360057 d=8.1836 t=10
canaue 	婵	c=818360001 d=8.1836 t=10
canaue 	嫦	c=818358977 d=8.18359 t=10
caneei 	璨	c=818359347 d=8.18359 t=10
caneeu 	蚕	c=818363719 d=8.18364 t=10
caneie 	场	c=818842796 d=8.18843 t=10
caneie 	掺	c=818360266 d=8.1836 t=10
caneie 	搀	c=818361288 d=8.18361 t=10
caneii 	苌	c=818357315 d=8.18357 t=10
caneii 	苍	c=818411065 d=8.18411 t=10
caneii 	菖	c=818357321 d=8.18357 t=10
caneii 	藏	c=818457166 d=8.18457 t=10
caneua 	残	c=818430593 d=8.18431 t=10
caneuu 	厂	c=818447666 d=8.18448 t=10
caniae 	唱	c=818412207 d=8.18412 t=10
caniae 	昌	c=818392339 d=8.18392 t=10
caniae 	畅	c=818379817 d=8.1838 t=10
caniae 	蝉	c=818369906 d=8.1837 t=10
caniae 	蟾	c=818358617 d=8.18359 t=10
caniae 	躔	c=818357206 d=8.18357 t=10
caniao 	黪	c=818357185 d=8.18357 t=10
caniei 	觇	c=818357335 d=8.18357 t=10
canieu 	粲	c=818358603 d=8.18359 t=10
canieu 	餐	c=818415395 d=8.18415 t=10
caniou 	尝	c=818394462 d=8.18394 t=10
caniou 	常	c=818802556 d=8.18803 t=10
caniou 	敞	c=818370185 d=8.1837 t=10
caniou 	氅	c=818358111 d=8.18358 t=10
caniou 	裳	c=818357219 d=8.18357 t=10
canoaa 	昶	c=818358397 d=8.18358 t=10
canoai 	禅	c=818374755 d=8.18375 t=10
canoau 	谄	c=818358576 d=8.18359 t=10
canoau 	谗	c=818358133 d=8.18358 t=10
canoei 	颤	c=818387166 d=8.18387 t=10
canoeo 	产	c=818812540 d=8.18813 t=10
canoeu 	廛	c=818357296 d=8.18357 t=10
canoia 	阊	c=818357312 d=8.18357 t=10
canoia 	阐	c=818364459 d=8.18364 t=10
canooe 	沧	c=818372397 d=8.18372 t=10
canooe 	潺	c=818359177 d=8.18359 t=10
canooe 	澶	c=818357239 d=8.18357 t=10
canooi 	忏	c=818360689 d=8.18361 t=10
canooi 	怅	c=818363343 d=8.18363 t=10
canooi 	惝	c=818357217 d=8.18357 t=10
canooi 	惨	c=818418787 d=8.18419 t=10
canooi 	惭	c=818368613 d=8.18369 t=10
canoui 	冁	c=818357194 d=8.18357 t=10
canoui 	单	c=818357188 d=8.18357 t=10
canouu 	灿	c=818371936 d=8.18372 t=10
canuaa 	馋	c=818359194 d=8.18359 t=10
canuae 	肠	c=818380100 d=8.1838 t=10
canuai 	鲳	c=818357201 d=8.18357 t=10
canuau 	猖	c=818360426 d=8.1836 t=10
canuea 	长	c=818901891 d=8.18902 t=10
canuee 	铲	c=818363187 d=8.18363 t=10
canuii 	倘	c=818357248 d=8.18357 t=10
canuii 	倡	c=818369286 d=8.18369 t=10
canuii 	偿	c=818382566 d=8.18383 t=10
canuiu 	伥	c=818357515 d=8.18358 t=10
canuiu 	伧	c=818357239 d=8.18357 t=10
canuoa 	仓	c=818376136 d=8.18376 t=10
canuoo 	鬯	c=818357283 d=8.18357 t=10
canuua 	舱	c=818373553 d=8.18374 t=10
canuui 	徜	c=818357682 d=8.18358 t=10
caoaaa 	剿	c=818357240 d=8.18357 t=10
caoaaa 	巢	c=818366629 d=8.18367 t=10
caoaae 	绰	c=818357185 d=8.18357 t=10
caoaiu 	衩	c=818357389 d=8.18357 t=10
caoaoo 	诧	c=818376310 d=8.18376 t=10
caoeee 	耖	c=818357169 d=8.18357 t=10
caoeia 	曹	c=818395220 d=8.18395 t=10
caoeie 	抄	c=818371448 d=8.18371 t=10
caoeie 	操	c=818428800 d=8.18429 t=10
caoeie 	超	c=818457956 d=8.18458 t=10
caoeii 	朝	c=818457166 d=8.18457 t=10
caoeii 	草	c=818479913 d=8.1848 t=10
caoeiu 	槽	c=818361636 d=8.18362 t=10
caoiae 	吵	c=818383371 d=8.18383 t=10
caoiae 	嘈	c=818360574 d=8.18361 t=10
caoiae 	嘲	c=818378466 d=8.18378 t=10
caoiae 	晁	c=818363519 d=8.18364 t=10
caoiae 	螬	c=818357193 d=8.18357 t=10
caooau 	察	c=818480847 d=8.18481 t=10
caooea 	汊	c=818357368 d=8.18357 t=10
caoooe 	漕	c=818357647 d=8.18358 t=10
caoooe 	潮	c=818402876 d=8.18403 t=10
caoooi 	怊	c=818357173 d=8.18357 t=10
caooue 	糙	c=818360243 d=8.1836 t=10
caoouu 	炒	c=818363529 d=8.18364 t=10
caouee 	差	c=818457166 d=8.18457 t=10
caouee 	钞	c=818363441 d=8.18363 t=10
caouua 	艚	c=818357176 d=8.18357 t=10
cauaae 	馇	c=818357179 d=8.18357 t=10
cauaue 	猹	c=818357176 d=8.18357 t=10
caueee 	锸	c=818357219 d=8.18357 t=10
caueee 	镲	c=818357178 d=8.18357 t=10
cauoau 	岔	c=818364844 d=8.18365 t=10
cauoei 	刹	c=818387166 d=8.18387 t=10
ceaeuo 	尺	c=818357251 d=8.18357 t=10
ceeaei 	车	c=818711966 d=8.18712 t=10
ceeiei 	扯	c=818397905 d=8.18398 t=10
ceeieo 	撤	c=818386042 d=8.18386 t=10
ceeieu 	坼	c=818357254 d=8.18357 t=10
ceeuia 	厕	c=818362196 d=8.18362 t=10
ceeuia 	砗	c=818357186 d=8.18357 t=10
cenaae 	骋	c=818359879 d=8.1836 t=10
cenaeu 	层	c=818487798 d=8.18488 t=10
cenaia 	丞	c=818363957 d=8.18364 t=10
cenaie 	承	c=818501246 d=8.18501 t=10
cenaie 	陈	c=818515279 d=8.18515 t=10
cenaoe 	参	c=818357566 d=8.18358 t=10
ceneei 	琛	c=818369570 d=8.1837 t=10
ceneia 	臣	c=818407527 d=8.18408 t=10
ceneia 	酲	c=818357231 d=8.18357 t=10
ceneie 	城	c=818629369 d=8.18629 t=10
ceneie 	埕	c=818357272 d=8.18357 t=10
ceneie 	抻	c=818357308 d=8.18357 t=10
ceneie 	撑	c=818382535 d=8.18383 t=10
ceneie 	趁	c=818387051 d=8.18387 t=10
ceneiu 	枨	c=818357271 d=8.18357 t=10
ceneiu 	柽	c=818357259 d=8.18357 t=10
ceneiu 	榇	c=818357273 d=8.18357 t=10
ceneiu 	橙	c=818357184 d=8.18357 t=10
ceneiu 	郴	c=818357592 d=8.18358 t=10
ceneua 	成	c=819507028 d=8.19507 t=10
ceneua 	盛	c=818361701 d=8.18362 t=10
ceneue 	辰	c=818392651 d=8.18393 t=10
ceneui 	碜	c=818357375 d=8.18357 t=10
ceniae 	呈	c=818381046 d=8.18381 t=10
ceniae 	嗔	c=818366526 d=8.18367 t=10
ceniae 	噌	c=818357357 d=8.18357 t=10
ceniae 	塍	c=818357248 d=8.18357 t=10
ceniae 	晟	c=818357584 d=8.18358 t=10
ceniae 	晨	c=818399785 d=8.184 t=10
ceniae 	瞠	c=818360274 d=8.1836 t=10
ceniae 	蛏	c=818357181 d=8.18357 t=10
ceniae 	蹭	c=818359559 d=8.1836 t=10
ceniae 	逞	c=818366453 d=8.18366 t=10
ceniai 	岑	c=818362936 d=8.18363 t=10
ceniei 	龀	c=818357244 d=8.18357 t=10
ceniuo 	尘	c=818414654 d=8.18415 t=10
cenoae 	诚	c=818420936 d=8.18421 t=10
cenoae 	谌	c=818357476 d=8.18357 t=10
cenoai 	衬	c=818374238 d=8.18374 t=10
cenoai 	裎	c=818357504 d=8.18358 t=10
cenoau 	谶	c=818357418 d=8.18357 t=10
cenooa 	宸	c=818358692 d=8.18359 t=10
cenooe 	沉	c=818586537 d=8.18587 t=10
cenooe 	涔	c=818359667 d=8.1836 t=10
cenooe 	澄	c=818373766 d=8.18374 t=10
cenooi 	忱	c=818359624 d=8.1836 t=10
cenoui 	曾	c=818585166 d=8.18585 t=10
cenuee 	铖	c=818357258 d=8.18357 t=10
cenuee 	铛	c=818357223 d=8.18357 t=10
cenuei 	乘	c=818417166 d=8.18417 t=10
cenuei 	秤	c=818359626 d=8.1836 t=10
cenuei 	称	c=818514006 d=8.18514 t=10
cenuei 	程	c=818708693 d=8.18709 t=10
cenuiu 	伧	c=818357739 d=8.18358 t=10
cenuui 	惩	c=818373400 d=8.18373 t=10
ceooei 	测	c=818439788 d=8.1844 t=10
ceooeo 	澈	c=818365231 d=8.18365 t=10
ceooii 	恻	c=818362263 d=8.18362 t=10
ceuaua 	册	c=818379083 d=8.18379 t=10
ceueei 	掣	c=818363868 d=8.18364 t=10
ceueou 	策	c=818481588 d=8.18482 t=10
